QID,Name,Aliases
Q0001,Fitzwilliam Darcy,"Fitzwilliam Darcy;Mr Darcy;Mr Fitzwilliam Darcy;Darcy"
Q0002,Elizabeth Bennet,"Elizabeth Bennet;Elizabeth;Lizzy;Eliza;Miss Elizabeth"
Q0003,Jane Bennet,"Jane Bennet;Jane;Miss Jane Bennet"
Q0004,Charles Bingley,"Charles Bingley;Mr Bingley;Mr Charles Bingley;Charles"
Q0005,John Bennet,"Mr Bennet;John;Mr John Bennet"
Q0006,Mrs Bennet,"Mrs Bennet;Mrs Longbourn"
Q0007,Lydia Bennet,"Lydia;Miss Lydia Bennet"
Q0008,Mary Bennet,"Mary;Miss Mary Bennet"
Q0009,Catherine Bennet,"Kitty;Catherine;Kitty Bennet;Miss Catherine Bennet"
Q0010,George Wickham,"Mr George Wickham;George;Mr Wickham"
Q0011,Charlotte Lucas,"Miss Lucas;Charlotte;Mrs Collins;Mrs. Collins"
Q0012,William Collins,"Mr William Collins;William;Mr Collins"
Q0013,Lady Catherine de Bourgh,"Lady Catherine de Bourgh;Catherine de Bourgh;Lady Catherine;Lady de Bourgh"
Q0014,Colonel Fitzwilliam,"Mr Colonel Fitzwilliam;Colonel;Col Fitzwilliam"
Q0015,Georgiana Darcy,"Miss Georgiana Darcy;Georgiana;Miss Darcy"
Q0016,Caroline Bingley,"Caroline Bingley;Miss Bingley;Caroline;Miss Caroline Bingley"
Q0017,Mr Gardiner,"Mr Gardiner;Mr. Gardiner"
Q0018,Mrs Gardiner,"Mrs Gardiner;Mrs. Gardiner"
Q0019,Sir William Lucas,"Sir William Lucass;Sir William"
Q0020,Louisa Hurst,"Mrs Hurst;Mrs. Hurst;Louisa Hurst;Louisa"
Q0021,Mr Hurst,"Mr Hurst;Mr. Hurst;Hurst"
Q0022,Lady Lucas,"Lady Lucas;Mrs Lucas"
Q0023,Anne de Bourgh,"Miss de Bourgh;Anne;Anne de Bourgh"

