sorted_pair,aunt,brother,cousin,daughter,father,friend,husband,mother,nephew,niece,sister,son,uncle,wife
"('Q0001', 'Q0002')",0,0,0,0,0,1,0,2,0,0,1,2,0,1
"('Q0001', 'Q0003')",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0001', 'Q0004')",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"('Q0001', 'Q0010')",0,0,0,0,0,1,0,0,0,0,2,1,0,0
"('Q0001', 'Q0011')",0,0,0,0,0,1,0,0,0,0,0,2,0,0
"('Q0001', 'Q0013')",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"('Q0001', 'Q0016')",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"('Q0001', 'Q0018')",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0001', 'Q0021')",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"('Q0002', 'Q0003')",0,1,1,0,0,1,0,0,0,0,5,0,0,0
"('Q0002', 'Q0004')",0,0,0,1,0,1,0,1,0,0,6,0,0,0
"('Q0002', 'Q0005')",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0006')",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"('Q0002', 'Q0007')",0,0,0,1,0,0,0,1,0,0,0,0,0,0
"('Q0002', 'Q0009')",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"('Q0002', 'Q0010')",1,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0002', 'Q0011')",0,0,0,0,0,3,0,1,0,0,0,0,0,0
"('Q0002', 'Q0012')",0,0,1,0,0,2,0,0,0,0,0,0,0,1
"('Q0002', 'Q0013')",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"('Q0002', 'Q0015')",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0016')",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"('Q0002', 'Q0017')",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0002', 'Q0018')",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"('Q0002', 'Q0019')",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"('Q0002', 'Q0020')",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0003', 'Q0004')",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"('Q0003', 'Q0006')",0,0,0,2,0,0,0,1,0,0,0,0,0,0
"('Q0003', 'Q0007')",0,0,0,0,1,0,0,2,0,0,1,0,0,0
"('Q0003', 'Q0010')",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"('Q0003', 'Q0016')",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"('Q0004', 'Q0006')",1,0,0,2,0,0,1,0,0,0,0,0,0,0
"('Q0004', 'Q0019')",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0005', 'Q0012')",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"('Q0006', 'Q0008')",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"('Q0006', 'Q0011')",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"('Q0007', 'Q0009')",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"('Q0007', 'Q0011')",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"('Q0007', 'Q0018')",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('Q0009', 'Q0012')",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"('Q0009', 'Q0013')",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"('Q0010', 'Q0017')",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"('Q0010', 'Q0018')",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"('Q0011', 'Q0012')",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"('Q0011', 'Q0013')",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"('Q0011', 'Q0014')",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"('Q0012', 'Q0014')",0,0,0,0,0,0,0,0,0,0,0,1,1,0
"('Q0012', 'Q0017')",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"('Q0013', 'Q0016')",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"('Q0013', 'Q0023')",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"('Q0015', 'Q0016')",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"('Q0015', 'Q0017')",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"('Q0015', 'Q0023')",0,1,0,0,0,0,0,0,0,0,0,0,0,0
