sorted_pair,brother,couple,daughter,daughters,father,friend,friends,husband,mother,sister,son,wife
"('Q0001', 'Q0002')",3,0,0,0,3,3,2,1,8,11,2,1
"('Q0001', 'Q0003')",1,1,2,3,2,0,1,0,11,2,1,0
"('Q0001', 'Q0005')",2,0,1,0,2,2,1,1,4,10,0,0
"('Q0001', 'Q0006')",0,0,0,0,0,0,0,0,1,0,0,0
"('Q0001', 'Q0007')",0,0,0,0,1,0,1,0,2,0,0,0
"('Q0001', 'Q0008')",0,0,0,0,0,1,0,0,1,0,0,1
"('Q0001', 'Q0010')",0,0,0,0,0,0,0,0,0,1,0,0
"('Q0001', 'Q0012')",0,0,0,0,2,2,0,1,4,1,1,2
"('Q0001', 'Q0013')",0,0,2,0,0,3,0,0,0,0,0,0
"('Q0001', 'Q0014')",0,0,0,0,1,0,0,0,0,1,0,0
"('Q0001', 'Q0016')",2,0,0,0,0,0,0,0,0,0,0,0
"('Q0001', 'Q0017')",0,0,0,0,0,1,0,0,0,0,0,0
"('Q0002', 'Q0003')",1,0,0,0,1,1,0,1,1,1,0,0
"('Q0002', 'Q0005')",0,0,0,0,2,2,0,0,0,2,0,0
"('Q0002', 'Q0006')",0,0,0,0,1,0,0,0,0,1,0,0
"('Q0002', 'Q0007')",0,0,1,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0008')",0,0,0,0,0,1,0,0,0,2,0,0
"('Q0002', 'Q0010')",3,0,0,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0012')",1,0,0,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0013')",0,0,1,0,0,0,0,0,1,1,0,0
"('Q0002', 'Q0014')",1,0,0,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0017')",0,0,0,0,0,0,0,0,0,1,0,0
"('Q0003', 'Q0005')",0,0,4,1,0,0,0,0,1,1,0,1
"('Q0003', 'Q0007')",0,0,0,1,0,0,0,0,1,0,0,0
"('Q0003', 'Q0008')",1,0,1,2,1,0,0,2,0,2,0,2
"('Q0003', 'Q0012')",0,0,2,0,0,0,0,0,0,0,0,2
"('Q0003', 'Q0013')",0,0,1,0,0,0,0,0,0,0,0,0
"('Q0003', 'Q0014')",1,0,0,1,1,0,0,0,0,0,0,1
"('Q0005', 'Q0006')",0,0,0,0,1,0,0,0,0,0,0,0
"('Q0005', 'Q0007')",0,0,0,0,0,0,0,0,1,1,0,0
"('Q0005', 'Q0008')",0,1,0,0,2,0,0,1,1,1,0,1
"('Q0005', 'Q0010')",0,0,0,0,0,0,0,0,0,2,0,0
"('Q0005', 'Q0012')",0,0,0,1,0,0,0,0,1,1,0,0
"('Q0005', 'Q0014')",0,0,0,0,1,1,0,0,0,0,0,0
"('Q0006', 'Q0008')",0,0,0,0,0,0,0,0,0,1,0,0
"('Q0007', 'Q0008')",0,0,0,0,0,0,0,0,1,0,0,0
"('Q0008', 'Q0012')",0,0,0,0,0,0,0,0,1,0,0,0
"('Q0008', 'Q0014')",1,1,0,0,0,0,0,0,0,0,0,0
"('Q0009', 'Q0010')",1,0,0,0,0,0,0,0,0,0,0,0
"('Q0012', 'Q0013')",0,0,0,0,2,0,0,0,1,0,0,1
