sorted_pair,brother,daughter,daughters,father,friend,friends,mother,sister,son,wife
"('Q0001', 'Q0002')",1,0,0,0,0,1,2,1,1,1
"('Q0001', 'Q0003')",0,0,1,1,0,0,1,0,0,0
"('Q0001', 'Q0005')",0,0,0,0,1,1,0,4,0,0
"('Q0001', 'Q0007')",0,0,0,0,0,0,1,0,0,0
"('Q0001', 'Q0008')",0,0,0,0,0,0,1,0,0,0
"('Q0001', 'Q0012')",0,0,0,0,2,0,1,0,1,1
"('Q0001', 'Q0014')",0,0,0,0,0,0,0,1,0,0
"('Q0002', 'Q0005')",0,0,0,0,0,0,0,1,0,0
"('Q0002', 'Q0010')",1,0,0,0,0,0,0,0,0,0
"('Q0002', 'Q0014')",1,0,0,0,0,0,0,0,0,0
"('Q0003', 'Q0005')",0,2,1,0,0,0,0,0,0,0
"('Q0003', 'Q0006')",0,1,0,0,0,0,0,0,0,0
"('Q0003', 'Q0008')",0,1,1,0,0,0,0,0,0,0
"('Q0003', 'Q0012')",0,0,0,0,0,0,0,0,0,1
"('Q0003', 'Q0014')",0,0,1,0,0,0,0,0,0,0
"('Q0003', 'Q0017')",0,1,0,0,0,0,0,0,0,0
"('Q0005', 'Q0008')",0,0,0,1,0,0,1,0,0,0
"('Q0007', 'Q0008')",0,0,0,0,0,0,1,0,0,0
"('Q0007', 'Q0012')",0,0,0,1,0,0,0,0,0,0
"('Q0012', 'Q0014')",0,0,0,1,0,0,0,0,0,0
