sorted_pair,Relationship,relationship_type_count,total_relationship_count,unique_relationship_types,Entity1_ID,Entity2_ID,Entity1,Entity2
"('Q0001', 'Q0002')",friend,1,7,5,Q0001,Q0002,Fitzwilliam Darcy,Elizabeth Bennet
"('Q0001', 'Q0002')",mother,2,7,5,Q0001,Q0002,Fitzwilliam Darcy,Elizabeth Bennet
"('Q0001', 'Q0002')",sister,1,7,5,Q0001,Q0002,Fitzwilliam Darcy,Elizabeth Bennet
"('Q0001', 'Q0002')",son,2,7,5,Q0001,Q0002,Fitzwilliam Darcy,Elizabeth Bennet
"('Q0001', 'Q0002')",wife,1,7,5,Q0001,Q0002,Fitzwilliam Darcy,Elizabeth Bennet
"('Q0001', 'Q0003')",sister,1,1,1,Q0001,Q0003,Fitzwilliam Darcy,Jane Bennet
"('Q0001', 'Q0004')",friend,2,2,1,Q0001,Q0004,Fitzwilliam Darcy,Charles Bingley
"('Q0001', 'Q0010')",friend,1,4,3,Q0001,Q0010,Fitzwilliam Darcy,George Wickham
"('Q0001', 'Q0010')",sister,2,4,3,Q0001,Q0010,Fitzwilliam Darcy,George Wickham
"('Q0001', 'Q0010')",son,1,4,3,Q0001,Q0010,Fitzwilliam Darcy,George Wickham
"('Q0001', 'Q0011')",friend,1,3,2,Q0001,Q0011,Fitzwilliam Darcy,Charlotte Lucas
"('Q0001', 'Q0011')",son,2,3,2,Q0001,Q0011,Fitzwilliam Darcy,Charlotte Lucas
"('Q0001', 'Q0013')",cousin,1,1,1,Q0001,Q0013,Fitzwilliam Darcy,Lady Catherine de Bourgh
"('Q0001', 'Q0016')",father,1,1,1,Q0001,Q0016,Fitzwilliam Darcy,Caroline Bingley
"('Q0001', 'Q0018')",sister,1,1,1,Q0001,Q0018,Fitzwilliam Darcy,Mrs Gardiner
"('Q0001', 'Q0021')",friend,1,1,1,Q0001,Q0021,Fitzwilliam Darcy,Mr Hurst
"('Q0002', 'Q0003')",brother,1,8,4,Q0002,Q0003,Elizabeth Bennet,Jane Bennet
"('Q0002', 'Q0003')",cousin,1,8,4,Q0002,Q0003,Elizabeth Bennet,Jane Bennet
"('Q0002', 'Q0003')",friend,1,8,4,Q0002,Q0003,Elizabeth Bennet,Jane Bennet
"('Q0002', 'Q0003')",sister,5,8,4,Q0002,Q0003,Elizabeth Bennet,Jane Bennet
"('Q0002', 'Q0004')",daughter,1,9,4,Q0002,Q0004,Elizabeth Bennet,Charles Bingley
"('Q0002', 'Q0004')",friend,1,9,4,Q0002,Q0004,Elizabeth Bennet,Charles Bingley
"('Q0002', 'Q0004')",mother,1,9,4,Q0002,Q0004,Elizabeth Bennet,Charles Bingley
"('Q0002', 'Q0004')",sister,6,9,4,Q0002,Q0004,Elizabeth Bennet,Charles Bingley
"('Q0002', 'Q0005')",father,1,1,1,Q0002,Q0005,Elizabeth Bennet,John Bennet
"('Q0002', 'Q0006')",wife,1,1,1,Q0002,Q0006,Elizabeth Bennet,Mrs Bennet
"('Q0002', 'Q0007')",daughter,1,2,2,Q0002,Q0007,Elizabeth Bennet,Lydia Bennet
"('Q0002', 'Q0007')",mother,1,2,2,Q0002,Q0007,Elizabeth Bennet,Lydia Bennet
"('Q0002', 'Q0009')",mother,1,1,1,Q0002,Q0009,Elizabeth Bennet,Catherine Bennet
"('Q0002', 'Q0010')",aunt,1,2,2,Q0002,Q0010,Elizabeth Bennet,George Wickham
"('Q0002', 'Q0010')",sister,1,2,2,Q0002,Q0010,Elizabeth Bennet,George Wickham
"('Q0002', 'Q0011')",friend,3,4,2,Q0002,Q0011,Elizabeth Bennet,Charlotte Lucas
"('Q0002', 'Q0011')",mother,1,4,2,Q0002,Q0011,Elizabeth Bennet,Charlotte Lucas
"('Q0002', 'Q0012')",cousin,1,4,3,Q0002,Q0012,Elizabeth Bennet,William Collins
"('Q0002', 'Q0012')",friend,2,4,3,Q0002,Q0012,Elizabeth Bennet,William Collins
"('Q0002', 'Q0012')",wife,1,4,3,Q0002,Q0012,Elizabeth Bennet,William Collins
"('Q0002', 'Q0013')",nephew,1,1,1,Q0002,Q0013,Elizabeth Bennet,Lady Catherine de Bourgh
"('Q0002', 'Q0015')",brother,1,1,1,Q0002,Q0015,Elizabeth Bennet,Georgiana Darcy
"('Q0002', 'Q0016')",friend,1,1,1,Q0002,Q0016,Elizabeth Bennet,Caroline Bingley
"('Q0002', 'Q0017')",sister,1,1,1,Q0002,Q0017,Elizabeth Bennet,Mr Gardiner
"('Q0002', 'Q0018')",niece,2,2,1,Q0002,Q0018,Elizabeth Bennet,Mrs Gardiner
"('Q0002', 'Q0019')",mother,2,2,1,Q0002,Q0019,Elizabeth Bennet,Sir William Lucas
"('Q0002', 'Q0020')",sister,1,1,1,Q0002,Q0020,Elizabeth Bennet,Louisa Hurst
"('Q0003', 'Q0004')",friend,1,2,2,Q0003,Q0004,Jane Bennet,Charles Bingley
"('Q0003', 'Q0004')",sister,1,2,2,Q0003,Q0004,Jane Bennet,Charles Bingley
"('Q0003', 'Q0006')",daughter,2,3,2,Q0003,Q0006,Jane Bennet,Mrs Bennet
"('Q0003', 'Q0006')",mother,1,3,2,Q0003,Q0006,Jane Bennet,Mrs Bennet
"('Q0003', 'Q0007')",father,1,4,3,Q0003,Q0007,Jane Bennet,Lydia Bennet
"('Q0003', 'Q0007')",mother,2,4,3,Q0003,Q0007,Jane Bennet,Lydia Bennet
"('Q0003', 'Q0007')",sister,1,4,3,Q0003,Q0007,Jane Bennet,Lydia Bennet
"('Q0003', 'Q0010')",aunt,1,2,2,Q0003,Q0010,Jane Bennet,George Wickham
"('Q0003', 'Q0010')",husband,1,2,2,Q0003,Q0010,Jane Bennet,George Wickham
"('Q0003', 'Q0016')",friend,1,1,1,Q0003,Q0016,Jane Bennet,Caroline Bingley
"('Q0004', 'Q0006')",aunt,1,4,3,Q0004,Q0006,Charles Bingley,Mrs Bennet
"('Q0004', 'Q0006')",daughter,2,4,3,Q0004,Q0006,Charles Bingley,Mrs Bennet
"('Q0004', 'Q0006')",husband,1,4,3,Q0004,Q0006,Charles Bingley,Mrs Bennet
"('Q0004', 'Q0019')",sister,1,1,1,Q0004,Q0019,Charles Bingley,Sir William Lucas
"('Q0005', 'Q0012')",cousin,1,2,2,Q0005,Q0012,John Bennet,William Collins
"('Q0005', 'Q0012')",wife,1,2,2,Q0005,Q0012,John Bennet,William Collins
"('Q0006', 'Q0008')",daughter,1,1,1,Q0006,Q0008,Mrs Bennet,Mary Bennet
"('Q0006', 'Q0011')",daughter,1,1,1,Q0006,Q0011,Mrs Bennet,Charlotte Lucas
"('Q0007', 'Q0009')",mother,1,1,1,Q0007,Q0009,Lydia Bennet,Catherine Bennet
"('Q0007', 'Q0011')",cousin,1,1,1,Q0007,Q0011,Lydia Bennet,Charlotte Lucas
"('Q0007', 'Q0018')",niece,1,1,1,Q0007,Q0018,Lydia Bennet,Mrs Gardiner
"('Q0009', 'Q0012')",father,1,1,1,Q0009,Q0012,Catherine Bennet,William Collins
"('Q0009', 'Q0013')",cousin,1,1,1,Q0009,Q0013,Catherine Bennet,Lady Catherine de Bourgh
"('Q0010', 'Q0017')",sister,1,1,1,Q0010,Q0017,George Wickham,Mr Gardiner
"('Q0010', 'Q0018')",niece,1,1,1,Q0010,Q0018,George Wickham,Mrs Gardiner
"('Q0011', 'Q0012')",husband,1,1,1,Q0011,Q0012,Charlotte Lucas,William Collins
"('Q0011', 'Q0013')",daughter,1,1,1,Q0011,Q0013,Charlotte Lucas,Lady Catherine de Bourgh
"('Q0011', 'Q0014')",cousin,1,1,1,Q0011,Q0014,Charlotte Lucas,Colonel Fitzwilliam
"('Q0012', 'Q0014')",son,1,2,2,Q0012,Q0014,William Collins,Colonel Fitzwilliam
"('Q0012', 'Q0014')",uncle,1,2,2,Q0012,Q0014,William Collins,Colonel Fitzwilliam
"('Q0012', 'Q0017')",father,1,1,1,Q0012,Q0017,William Collins,Mr Gardiner
"('Q0013', 'Q0016')",cousin,1,1,1,Q0013,Q0016,Lady Catherine de Bourgh,Caroline Bingley
"('Q0013', 'Q0023')",mother,1,1,1,Q0013,Q0023,Lady Catherine de Bourgh,Anne de Bourgh
"('Q0015', 'Q0016')",brother,3,3,1,Q0015,Q0016,Georgiana Darcy,Caroline Bingley
"('Q0015', 'Q0017')",brother,1,1,1,Q0015,Q0017,Georgiana Darcy,Mr Gardiner
"('Q0015', 'Q0023')",brother,1,1,1,Q0015,Q0023,Georgiana Darcy,Anne de Bourgh
