Relationship,Entity1,Entity2,Entity1_ID,Entity2_ID,relationship_type_count,total_relationship_count,unique_relationship_types
sister,Elizabeth,Jane,Q0001,Q0005,4,6,3
daughter,Bennet,Jane,Q0003,Q0005,2,3,2
sister,Darcy,Elizabeth,Q0002,Q0001,1,7,6
daughters,Bennet,Elizabeth,Q0003,Q0001,1,3,3
daughters,Bennet,Jane,Q0003,Q0005,1,3,2
daughters,Bennet,Lydia,Q0003,Q0008,1,2,2
friends,Jane,Elizabeth,Q0005,Q0001,1,6,3
son,Elizabeth,Darcy,Q0001,Q0002,1,7,6
mother,Elizabeth,Darcy,Q0001,Q0002,2,7,6
wife,Bennet,Collins,Q0003,Q0012,1,1,1
friend,Collins,Elizabeth,Q0012,Q0001,2,5,4
mother,Elizabeth,William,Q0001,Q0012,1,5,4
brother,Caroline,Darcy,Q0010,Q0002,1,1,1
son,William,Elizabeth,Q0012,Q0001,1,5,4
father,Catherine,Collins,Q0007,Q0012,1,1,1
wife,Collins,Elizabeth,Q0012,Q0001,1,5,4
sister,Jane,Darcy,Q0005,Q0002,1,1,1
mother,Elizabeth,Lydia,Q0001,Q0008,1,1,1
daughter,Bennet,Lydia,Q0003,Q0008,1,2,2
mother,Lydia,Kitty,Q0008,Q0007,1,1,1
brother,Darcy,Gardiner,Q0002,Q0014,1,1,1
friends,Elizabeth,Darcy,Q0001,Q0002,1,7,6
brother,Darcy,Elizabeth,Q0002,Q0001,1,7,6
father,Jane,Lydia,Q0005,Q0008,1,2,2
father,Gardiner,Collins,Q0014,Q0012,1,1,1
daughter,Charlotte,Bennet,Q0017,Q0003,1,1,1
mother,Elizabeth,Bennet,Q0001,Q0003,1,3,3
sister,Elizabeth,Gardiner,Q0001,Q0014,1,1,1
daughters,Bennet,Gardiner,Q0003,Q0014,1,1,1
mother,Lydia,Jane,Q0008,Q0005,1,2,2
mother,Elizabeth,Kitty,Q0001,Q0007,1,1,1
friend,Elizabeth,Jane,Q0001,Q0005,1,6,3
father,Elizabeth,Bennet,Q0001,Q0003,1,3,3
wife,Elizabeth,Darcy,Q0001,Q0002,1,7,6
daughter,Mary,Bennet,Q0006,Q0003,1,1,1
